Post Date;Value Date;Branch;Journal No.;Description;Debit;Credit
02/06/18 09.00.06;02/06/18 09.00.06;767;612526;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301522 JATIASIH 2;0;220,500.00
02/06/18 09.00.06;02/06/18 09.00.06;767;612618;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301511 GEDONG 2;0;201,500.00
02/06/18 09.00.07;02/06/18 09.00.07;767;612694;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301524 CIKUNIR 2;0;632,500.00
02/06/18 09.00.07;02/06/18 09.00.07;767;612704;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301510 LT AGUNG 1;0;237,500.00
02/06/18 09.00.07;02/06/18 09.00.07;767;612782;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301513 KP RAMBUTAN;0;152,000.00
02/06/18 09.00.07;02/06/18 09.00.07;767;612788;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301523 JATIASIH 1;0;38,000.00
02/06/18 09.00.07;02/06/18 09.00.07;767;612895;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301512 GEDONG 1;0;76,000.00
02/06/18 09.00.08;02/06/18 09.00.08;767;612958;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301515 DUKUH 1;0;624,000.00
02/06/18 09.00.08;02/06/18 09.00.08;767;612963;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301525 CIKUNIR 4;0;42,000.00
02/06/18 09.00.08;02/06/18 09.00.08;767;613035;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301514 PS REBO;0;325,000.00
02/06/18 09.00.08;02/06/18 09.00.08;767;613086;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301517 BMB APUS 2;0;57,000.00
02/06/18 09.00.09;02/06/18 09.00.09;767;613200;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 3 000301516 DUKUH 3;0;200,000.00
02/06/18 09.00.09;02/06/18 09.00.09;767;613262;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301519 SETU;0;28,500.00
02/06/18 18.03.56;02/06/18 18.03.56;767;157157;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301518 BMB APUS 1;0;600,500.00
02/06/18 18.03.56;02/06/18 18.03.56;767;157214;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301519 SETU;0;123,500.00
02/06/18 18.03.57;02/06/18 18.03.57;767;157374;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 01062018 3 000301521 JATIWARNA 1;0;9,500.00
02/06/18 18.03.57;02/06/18 18.03.57;767;157409;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301520 JATIWARNA 2;0;1,244,500.00
02/06/18 18.03.58;02/06/18 18.03.58;767;157455;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301521 JATIWARNA 1;0;123,500.00
02/06/18 18.03.58;02/06/18 18.03.58;767;157479;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301534 LT AGUNG 3;0;133,000.00
02/06/18 18.03.58;02/06/18 18.03.58;767;157483;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301522 JATIASIH 2;0;961,500.00
02/06/18 18.03.58;02/06/18 18.03.58;767;157485;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301510 LT AGUNG 1;0;912,000.00
02/06/18 18.03.58;02/06/18 18.03.58;767;157519;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301523 JATIASIH 1;0;494,000.00
02/06/18 18.03.58;02/06/18 18.03.58;767;157522;TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 02062018 1 000301511 GEDONG 2;0;627,000.00
